conceptdoi,doi,metadata.title,stats.views,#versions,links.html,links.doi,created,updated
10.5281/zenodo.1205166,10.5281/zenodo.6567994,Gene Ontology Data Archive,903.0,45,https://zenodo.org/record/6567994,https://doi.org/10.5281/zenodo.6567994,2022-05-20T20:08:28.037141+00:00,2022-05-21T01:50:05.649844+00:00
10.5281/zenodo.6529887,10.5281/zenodo.6529888,MIMII DG: Sound Dataset for Malfunctioning Industrial Machine Investigation for Domain Generalization Task,854.0,1,https://zenodo.org/record/6529888,https://doi.org/10.5281/zenodo.6529888,2022-05-11T09:10:14.706676+00:00,2022-05-11T13:49:37.214088+00:00
10.5281/zenodo.6517397,10.5281/zenodo.6517398,The PI-CAI Challenge: Public Training and Development Dataset,753.0,1,https://zenodo.org/record/6517398,https://doi.org/10.5281/zenodo.6517398,2022-05-05T21:41:25.572278+00:00,2022-05-06T01:49:55.562878+00:00
10.5281/zenodo.6514158,10.5281/zenodo.6514159,"SEN2VENµS, a dataset for the training of Sentinel-2 super-resolution algorithms",658.0,1,https://zenodo.org/record/6514159,https://doi.org/10.5281/zenodo.6514159,2022-05-13T12:51:53.940144+00:00,2022-05-17T13:08:56.079896+00:00
10.5281/zenodo.6364593,10.5281/zenodo.6364594,Global map of Local Climate Zones,454.0,1,https://zenodo.org/record/6364594,https://doi.org/10.5281/zenodo.6364594,2022-03-17T11:17:46.886407+00:00,2022-03-22T13:48:30.040574+00:00
10.5281/zenodo.3723281,10.5281/zenodo.6618817,BIP4COVID19: Impact metrics and indicators for coronavirus related publications,443.0,101,https://zenodo.org/record/6618817,https://doi.org/10.5281/zenodo.6618817,2022-06-07T07:10:17.864096+00:00,2022-06-07T13:50:48.650090+00:00
10.5281/zenodo.6451334,10.5281/zenodo.6451335,Spatial Scaling Challenge. COST Action CA17134 SENSECO. Working Group 1,421.0,1,https://zenodo.org/record/6451335,https://doi.org/10.5281/zenodo.6451335,2022-04-12T11:29:16.597150+00:00,2022-05-09T07:46:25.458446+00:00
10.5281/zenodo.6388153,10.5281/zenodo.6406873,[DCASE2022 Task 3] Synthetic SELD mixtures for baseline training,341.0,2,https://zenodo.org/record/6406873,https://doi.org/10.5281/zenodo.6406873,2022-04-01T17:05:24.375814+00:00,2022-04-02T13:50:05.809982+00:00
10.5281/zenodo.5886911,10.5281/zenodo.5886912,AR6 Scenarios Database,337.0,1,https://zenodo.org/record/5886912,https://doi.org/10.5281/zenodo.5886912,2022-04-04T16:05:25.274393+00:00,2022-04-12T12:49:44.056860+00:00
10.5281/zenodo.6462968,10.5281/zenodo.6462969,DCASE 2022 Challenge Task 2 Additional Training Dataset,302.0,1,https://zenodo.org/record/6462969,https://doi.org/10.5281/zenodo.6462969,2022-04-15T11:24:25.239354+00:00,2022-06-02T01:16:48.842350+00:00
10.5281/zenodo.6382481,10.5281/zenodo.6382482,DEBS 2022 Grand Challenge Data Set: Trading Data,253.0,1,https://zenodo.org/record/6382482,https://doi.org/10.5281/zenodo.6382482,2022-04-27T21:30:38.918672+00:00,2022-04-28T13:49:47.417608+00:00
10.5281/zenodo.5797911,10.5281/zenodo.5797912,UniToChest,242.0,1,https://zenodo.org/record/5797912,https://doi.org/10.5281/zenodo.5797912,2022-04-05T09:55:51.958690+00:00,2022-04-05T15:47:03.559572+00:00
10.5281/zenodo.6337957,10.5281/zenodo.6337958,ArtGraph,237.0,1,https://zenodo.org/record/6337958,https://doi.org/10.5281/zenodo.6337958,2022-03-22T15:59:17.327460+00:00,2022-04-24T07:04:57.380750+00:00
10.5281/zenodo.6456305,10.5281/zenodo.6456306,DECIMER - Hand-drawn molecule images dataset,237.0,1,https://zenodo.org/record/6456306,https://doi.org/10.5281/zenodo.6456306,2022-04-13T06:53:45.335531+00:00,2022-04-13T13:49:14.717725+00:00
